experiment_id,experiment_group,protocol_version,dataset,outer_target,method,trainer_method,backbone,trainer_model,preprocessing,seed,optimization_seed,source_split_seed,lambda_f,lambda_k,temperature,augmentation_M,selection_protocol,pretrained_weights_sha256,config_hash,dataset_fingerprint,status,result_path,checkpoint_path,gpu,exit_code,rerun_reason
vit-direct-strong_aug-Photo-seed42,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Photo,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,42,42,42,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,9cd48c08a1aa191a15b8ec6f53e26cbe46513bb73ce173bddbb103f01c32100c,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Photo/42/Photo_vit-small_strong_aug_seed42.json,runs/revision/vit_direct/strong_aug/Photo/42/Photo_vit-small_strong_aug_seed42.pt,1,0,
vit-direct-strong_aug-Photo-seed123,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Photo,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,123,123,123,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,a95cc332f30cfefc7d69eb314acd38887c6353848076d95236124c606c016c4b,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Photo/123/Photo_vit-small_strong_aug_seed123.json,runs/revision/vit_direct/strong_aug/Photo/123/Photo_vit-small_strong_aug_seed123.pt,2,0,
vit-direct-strong_aug-Photo-seed3407,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Photo,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,3407,3407,3407,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,5c019773ebace0f16576d606984b558e52ed4fc6e4d68e1b8fd75f50ff623c28,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Photo/3407/Photo_vit-small_strong_aug_seed3407.json,runs/revision/vit_direct/strong_aug/Photo/3407/Photo_vit-small_strong_aug_seed3407.pt,2,0,
vit-direct-strong_aug-Photo-seed2026,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Photo,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,2026,2026,2026,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,5e02c3d366aea668a215655a188f919e8a3528d9d7afcc6020188d08236d5925,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Photo/2026/Photo_vit-small_strong_aug_seed2026.json,runs/revision/vit_direct/strong_aug/Photo/2026/Photo_vit-small_strong_aug_seed2026.pt,1,0,
vit-direct-strong_aug-Photo-seed2027,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Photo,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,2027,2027,2027,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,88e31384828f01d12d5644e106aad13b6cf30868637689e58690cc51f54c7d44,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Photo/2027/Photo_vit-small_strong_aug_seed2027.json,runs/revision/vit_direct/strong_aug/Photo/2027/Photo_vit-small_strong_aug_seed2027.pt,2,0,
vit-direct-strong_aug-Art_Painting-seed42,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Art_Painting,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,42,42,42,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,36691dad571d71b945f54409e00d08504b0945d3cbf96a7119bf7f68f75b3d5f,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Art_Painting/42/Art_Painting_vit-small_strong_aug_seed42.json,runs/revision/vit_direct/strong_aug/Art_Painting/42/Art_Painting_vit-small_strong_aug_seed42.pt,1,0,
vit-direct-strong_aug-Art_Painting-seed123,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Art_Painting,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,123,123,123,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,2a6e5b97339e13ba92cb7263033755407062b241e684c5d5f0563438adb841ed,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Art_Painting/123/Art_Painting_vit-small_strong_aug_seed123.json,runs/revision/vit_direct/strong_aug/Art_Painting/123/Art_Painting_vit-small_strong_aug_seed123.pt,1,0,
vit-direct-strong_aug-Art_Painting-seed3407,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Art_Painting,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,3407,3407,3407,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,50f00477423221856dc8b8d62669fc466342a9bb54806fb2a5f0a15a85062643,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Art_Painting/3407/Art_Painting_vit-small_strong_aug_seed3407.json,runs/revision/vit_direct/strong_aug/Art_Painting/3407/Art_Painting_vit-small_strong_aug_seed3407.pt,2,0,
vit-direct-strong_aug-Art_Painting-seed2026,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Art_Painting,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,2026,2026,2026,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,3baa1ad9091f61d2042e4662f42f9f5cd7dda42e7f2e7d2853257d298ad8c6b5,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Art_Painting/2026/Art_Painting_vit-small_strong_aug_seed2026.json,runs/revision/vit_direct/strong_aug/Art_Painting/2026/Art_Painting_vit-small_strong_aug_seed2026.pt,1,0,
vit-direct-strong_aug-Art_Painting-seed2027,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Art_Painting,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,2027,2027,2027,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,72c0b1f264f642837e1b6a760a8c7c81c6f8ef7c61c03382704fcc3eaf52afd7,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Art_Painting/2027/Art_Painting_vit-small_strong_aug_seed2027.json,runs/revision/vit_direct/strong_aug/Art_Painting/2027/Art_Painting_vit-small_strong_aug_seed2027.pt,2,0,
