experiment_id,experiment_group,protocol_version,dataset,data_root,outer_target,method,trainer_method,backbone,seed,optimization_seed,source_split_seed,lambda_f,lambda_k,temperature,augmentation_M,selection_protocol,config_hash,dataset_fingerprint,status,result_path,checkpoint_path,gpu,exit_code,rerun_reason
cross-vlcs-erm-Caltech101-seed42,P0_cross_dataset_confirmation,shiftguard-cross-dataset-v1.1,vlcs,data/VLCS,Caltech101,erm,erm,torchvision:resnet50:IMAGENET1K_V2,42,42,42,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,ee277c5f3f037bfdc24050edd31c1402f4b44ceb2e84da1be2f0394aaf1c393c,94bcf75dd22fb036d9ed5149215a69420654f1d7699f1686b5c987e7caa77dc2,complete,runs/revision/cross_dataset/vlcs/erm/Caltech101/42/vlcs_Caltech101_resnet50_erm_seed42.json,runs/revision/cross_dataset/vlcs/erm/Caltech101/42/vlcs_Caltech101_resnet50_erm_seed42.pt,1,0,
cross-vlcs-erm-Caltech101-seed123,P0_cross_dataset_confirmation,shiftguard-cross-dataset-v1.1,vlcs,data/VLCS,Caltech101,erm,erm,torchvision:resnet50:IMAGENET1K_V2,123,123,123,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,3b90052a3ef110c7a49346942f051894323d1bc1caa85eb518766b2402186a90,94bcf75dd22fb036d9ed5149215a69420654f1d7699f1686b5c987e7caa77dc2,complete,runs/revision/cross_dataset/vlcs/erm/Caltech101/123/vlcs_Caltech101_resnet50_erm_seed123.json,runs/revision/cross_dataset/vlcs/erm/Caltech101/123/vlcs_Caltech101_resnet50_erm_seed123.pt,1,0,
cross-vlcs-erm-Caltech101-seed3407,P0_cross_dataset_confirmation,shiftguard-cross-dataset-v1.1,vlcs,data/VLCS,Caltech101,erm,erm,torchvision:resnet50:IMAGENET1K_V2,3407,3407,3407,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,6193d18a766e80490bbd843267f1656dfbe3ea14f7073c8796c26e934c9dbc62,94bcf75dd22fb036d9ed5149215a69420654f1d7699f1686b5c987e7caa77dc2,complete,runs/revision/cross_dataset/vlcs/erm/Caltech101/3407/vlcs_Caltech101_resnet50_erm_seed3407.json,runs/revision/cross_dataset/vlcs/erm/Caltech101/3407/vlcs_Caltech101_resnet50_erm_seed3407.pt,1,0,
cross-vlcs-erm-Caltech101-seed2026,P0_cross_dataset_confirmation,shiftguard-cross-dataset-v1.1,vlcs,data/VLCS,Caltech101,erm,erm,torchvision:resnet50:IMAGENET1K_V2,2026,2026,2026,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,389c72d5a083cda1b2ca2a744155a48604130ba38a653f375dac966f3b819c93,94bcf75dd22fb036d9ed5149215a69420654f1d7699f1686b5c987e7caa77dc2,complete,runs/revision/cross_dataset/vlcs/erm/Caltech101/2026/vlcs_Caltech101_resnet50_erm_seed2026.json,runs/revision/cross_dataset/vlcs/erm/Caltech101/2026/vlcs_Caltech101_resnet50_erm_seed2026.pt,1,0,
cross-vlcs-erm-Caltech101-seed2027,P0_cross_dataset_confirmation,shiftguard-cross-dataset-v1.1,vlcs,data/VLCS,Caltech101,erm,erm,torchvision:resnet50:IMAGENET1K_V2,2027,2027,2027,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,06fc420a767119900f43cbcafbf0135c1dc5cb14d189afe08fc0ed39d17243f3,94bcf75dd22fb036d9ed5149215a69420654f1d7699f1686b5c987e7caa77dc2,complete,runs/revision/cross_dataset/vlcs/erm/Caltech101/2027/vlcs_Caltech101_resnet50_erm_seed2027.json,runs/revision/cross_dataset/vlcs/erm/Caltech101/2027/vlcs_Caltech101_resnet50_erm_seed2027.pt,1,0,
cross-vlcs-erm-LabelMe-seed42,P0_cross_dataset_confirmation,shiftguard-cross-dataset-v1.1,vlcs,data/VLCS,LabelMe,erm,erm,torchvision:resnet50:IMAGENET1K_V2,42,42,42,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,de2c506b02c49dccf551ce865416130a55d333f054541e918d49478ca6d4cfa2,94bcf75dd22fb036d9ed5149215a69420654f1d7699f1686b5c987e7caa77dc2,complete,runs/revision/cross_dataset/vlcs/erm/LabelMe/42/vlcs_LabelMe_resnet50_erm_seed42.json,runs/revision/cross_dataset/vlcs/erm/LabelMe/42/vlcs_LabelMe_resnet50_erm_seed42.pt,1,0,
cross-vlcs-erm-LabelMe-seed123,P0_cross_dataset_confirmation,shiftguard-cross-dataset-v1.1,vlcs,data/VLCS,LabelMe,erm,erm,torchvision:resnet50:IMAGENET1K_V2,123,123,123,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,f0b6bc2ed77b079f510ca9442b9856479985fccf9394249766bd86f18b7e9407,94bcf75dd22fb036d9ed5149215a69420654f1d7699f1686b5c987e7caa77dc2,complete,runs/revision/cross_dataset/vlcs/erm/LabelMe/123/vlcs_LabelMe_resnet50_erm_seed123.json,runs/revision/cross_dataset/vlcs/erm/LabelMe/123/vlcs_LabelMe_resnet50_erm_seed123.pt,1,0,
cross-vlcs-erm-LabelMe-seed3407,P0_cross_dataset_confirmation,shiftguard-cross-dataset-v1.1,vlcs,data/VLCS,LabelMe,erm,erm,torchvision:resnet50:IMAGENET1K_V2,3407,3407,3407,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,96bfe6a46ad878a1edd2044abd9aa29a913eb8cc08293cfc074ac0ef2c08d0fd,94bcf75dd22fb036d9ed5149215a69420654f1d7699f1686b5c987e7caa77dc2,complete,runs/revision/cross_dataset/vlcs/erm/LabelMe/3407/vlcs_LabelMe_resnet50_erm_seed3407.json,runs/revision/cross_dataset/vlcs/erm/LabelMe/3407/vlcs_LabelMe_resnet50_erm_seed3407.pt,1,0,
cross-vlcs-erm-LabelMe-seed2026,P0_cross_dataset_confirmation,shiftguard-cross-dataset-v1.1,vlcs,data/VLCS,LabelMe,erm,erm,torchvision:resnet50:IMAGENET1K_V2,2026,2026,2026,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,f954e4b4b01045b69d4a38931b5a53a450271218cfdd45378025fa91ea27057e,94bcf75dd22fb036d9ed5149215a69420654f1d7699f1686b5c987e7caa77dc2,complete,runs/revision/cross_dataset/vlcs/erm/LabelMe/2026/vlcs_LabelMe_resnet50_erm_seed2026.json,runs/revision/cross_dataset/vlcs/erm/LabelMe/2026/vlcs_LabelMe_resnet50_erm_seed2026.pt,1,0,
cross-vlcs-erm-LabelMe-seed2027,P0_cross_dataset_confirmation,shiftguard-cross-dataset-v1.1,vlcs,data/VLCS,LabelMe,erm,erm,torchvision:resnet50:IMAGENET1K_V2,2027,2027,2027,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,a14ca33d0f8b2462a8ee858599c0aef4114bcd7adc2a8ac084a2c2a22ffc4318,94bcf75dd22fb036d9ed5149215a69420654f1d7699f1686b5c987e7caa77dc2,complete,runs/revision/cross_dataset/vlcs/erm/LabelMe/2027/vlcs_LabelMe_resnet50_erm_seed2027.json,runs/revision/cross_dataset/vlcs/erm/LabelMe/2027/vlcs_LabelMe_resnet50_erm_seed2027.pt,1,0,
