experiment_id,experiment_group,protocol_version,dataset,outer_target,method,trainer_method,backbone,seed,optimization_seed,source_split_seed,lambda_f,lambda_k,temperature,augmentation_M,selection_protocol,config_hash,dataset_fingerprint,status,result_path,checkpoint_path,gpu,exit_code,rerun_reason
pacs5-strong_aug-Photo-seed2026,P0_PACS_five_seed_confirmation,shiftguard-revision-v1.0,PACS,Photo,strong_aug,aug,resnet50,2026,2026,2026,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,afb09ff716aa729fb2fa8b80820dc688ac410bff62b95ed7babcf3c7f072e67b,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/pacs5/strong_aug/Photo/2026/Photo_resnet50_strong_aug_seed2026.json,runs/revision/pacs5/strong_aug/Photo/2026/Photo_resnet50_strong_aug_seed2026.pt,1,0,
pacs5-strong_aug-Photo-seed2027,P0_PACS_five_seed_confirmation,shiftguard-revision-v1.0,PACS,Photo,strong_aug,aug,resnet50,2027,2027,2027,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,777d21b910d562809029655d467cebd87cd1e371c9e5397eccb8b5be35cc9977,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/pacs5/strong_aug/Photo/2027/Photo_resnet50_strong_aug_seed2027.json,runs/revision/pacs5/strong_aug/Photo/2027/Photo_resnet50_strong_aug_seed2027.pt,2,0,
pacs5-strong_aug-Art_Painting-seed2026,P0_PACS_five_seed_confirmation,shiftguard-revision-v1.0,PACS,Art_Painting,strong_aug,aug,resnet50,2026,2026,2026,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,53b21749e16e5979319df7157e03e1b7a57bcfb29728f4a670a78db5a98ad814,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/pacs5/strong_aug/Art_Painting/2026/Art_Painting_resnet50_strong_aug_seed2026.json,runs/revision/pacs5/strong_aug/Art_Painting/2026/Art_Painting_resnet50_strong_aug_seed2026.pt,2,0,
pacs5-strong_aug-Art_Painting-seed2027,P0_PACS_five_seed_confirmation,shiftguard-revision-v1.0,PACS,Art_Painting,strong_aug,aug,resnet50,2027,2027,2027,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,4b4a3b7c59828323f0d75588fe33b008b0bb4731462be7d8c3d4a9e59f893f09,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/pacs5/strong_aug/Art_Painting/2027/Art_Painting_resnet50_strong_aug_seed2027.json,runs/revision/pacs5/strong_aug/Art_Painting/2027/Art_Painting_resnet50_strong_aug_seed2027.pt,1,0,
pacs5-strong_aug-Cartoon-seed2026,P0_PACS_five_seed_confirmation,shiftguard-revision-v1.0,PACS,Cartoon,strong_aug,aug,resnet50,2026,2026,2026,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,3a0d1ac690a15714ba83963cc0957b3c9b84fb7d7860258ad5b50134291c3e54,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/pacs5/strong_aug/Cartoon/2026/Cartoon_resnet50_strong_aug_seed2026.json,runs/revision/pacs5/strong_aug/Cartoon/2026/Cartoon_resnet50_strong_aug_seed2026.pt,1,0,
pacs5-strong_aug-Cartoon-seed2027,P0_PACS_five_seed_confirmation,shiftguard-revision-v1.0,PACS,Cartoon,strong_aug,aug,resnet50,2027,2027,2027,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,8533b1e40f5c9305d9aa5289230e582b917ad8df66fa3874a62f10835075b590,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/pacs5/strong_aug/Cartoon/2027/Cartoon_resnet50_strong_aug_seed2027.json,runs/revision/pacs5/strong_aug/Cartoon/2027/Cartoon_resnet50_strong_aug_seed2027.pt,2,0,
pacs5-strong_aug-Sketch-seed2026,P0_PACS_five_seed_confirmation,shiftguard-revision-v1.0,PACS,Sketch,strong_aug,aug,resnet50,2026,2026,2026,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,50c7e7cf4cad11f5851f2db664db3ffdd7236838639c58d04477e688d1cfd78c,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/pacs5/strong_aug/Sketch/2026/Sketch_resnet50_strong_aug_seed2026.json,runs/revision/pacs5/strong_aug/Sketch/2026/Sketch_resnet50_strong_aug_seed2026.pt,1,0,
pacs5-strong_aug-Sketch-seed2027,P0_PACS_five_seed_confirmation,shiftguard-revision-v1.0,PACS,Sketch,strong_aug,aug,resnet50,2027,2027,2027,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,5c433ee8c9e81fcfaf0816be7929f7ea1da9f5559dcd4310f94250fedddc2157,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/pacs5/strong_aug/Sketch/2027/Sketch_resnet50_strong_aug_seed2027.json,runs/revision/pacs5/strong_aug/Sketch/2027/Sketch_resnet50_strong_aug_seed2027.pt,2,0,
pacs5-feature_plus_kl-Photo-seed2026,P0_PACS_five_seed_confirmation,shiftguard-revision-v1.0,PACS,Photo,feature_plus_kl,feat_kl,resnet50,2026,2026,2026,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,d2461f43ebf187cd1c9efd08a8c9cad280565b1fd9975099b3673335e0d3c4b9,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/pacs5/feature_plus_kl/Photo/2026/Photo_resnet50_feature_plus_kl_seed2026.json,runs/revision/pacs5/feature_plus_kl/Photo/2026/Photo_resnet50_feature_plus_kl_seed2026.pt,1,0,
pacs5-feature_plus_kl-Photo-seed2027,P0_PACS_five_seed_confirmation,shiftguard-revision-v1.0,PACS,Photo,feature_plus_kl,feat_kl,resnet50,2027,2027,2027,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,59e1affde763f23b7b445d9f2b64e52f3cee968dc75c6331e30812a748a17d64,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/pacs5/feature_plus_kl/Photo/2027/Photo_resnet50_feature_plus_kl_seed2027.json,runs/revision/pacs5/feature_plus_kl/Photo/2027/Photo_resnet50_feature_plus_kl_seed2027.pt,2,0,
pacs5-feature_plus_kl-Art_Painting-seed2026,P0_PACS_five_seed_confirmation,shiftguard-revision-v1.0,PACS,Art_Painting,feature_plus_kl,feat_kl,resnet50,2026,2026,2026,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,6f14847f51aba3f18f23c59b409261da4c0d750ba7e3ae1ac6e438a03d24ff92,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/pacs5/feature_plus_kl/Art_Painting/2026/Art_Painting_resnet50_feature_plus_kl_seed2026.json,runs/revision/pacs5/feature_plus_kl/Art_Painting/2026/Art_Painting_resnet50_feature_plus_kl_seed2026.pt,1,0,
pacs5-feature_plus_kl-Art_Painting-seed2027,P0_PACS_five_seed_confirmation,shiftguard-revision-v1.0,PACS,Art_Painting,feature_plus_kl,feat_kl,resnet50,2027,2027,2027,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,6f8ee729e22826c07ec650a148f1986b88ab68c3aa285bb2443fe4978c9caf14,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/pacs5/feature_plus_kl/Art_Painting/2027/Art_Painting_resnet50_feature_plus_kl_seed2027.json,runs/revision/pacs5/feature_plus_kl/Art_Painting/2027/Art_Painting_resnet50_feature_plus_kl_seed2027.pt,2,0,
pacs5-feature_plus_kl-Cartoon-seed2026,P0_PACS_five_seed_confirmation,shiftguard-revision-v1.0,PACS,Cartoon,feature_plus_kl,feat_kl,resnet50,2026,2026,2026,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,65024c6faf2476aba805e9feed5326c3009b3d1064c9b7a410ff1fc9a90ca730,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/pacs5/feature_plus_kl/Cartoon/2026/Cartoon_resnet50_feature_plus_kl_seed2026.json,runs/revision/pacs5/feature_plus_kl/Cartoon/2026/Cartoon_resnet50_feature_plus_kl_seed2026.pt,1,0,
